reviewer,ratings,tilte,review_link,review_date_place,variant_name,variant_link,verified,review_body,helpful,review_comments
Abhijeet Das,5.0 out of 5 stars,Awesome headset,https://www.amazon.in/gp/customer-reviews/R2RTQPPCIQSNAZ/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B00D75AB6I,Reviewed in India on 30 October 2018,Style name: CX 275s,https://www.amazon.in/Sennheiser-CX-180-Street-II/product-reviews/B008V6T1IW/ref=cm_cr_arp_d_rvw_fmt?ie=UTF8&formatType=current_format,Verified Purchase,After successful of senneheiser CX 180 Street II series I thought I have to purchase CX 275s with microphone. When I put on Dolby Atoms mode it is really work as a beast. Nice sound quality powerful bass. It's wirea are thin but looks sturdy and strong I think it would be long lasting headset. And also One & Only Senneheiser name is enough for music lovers. Many people have different kind of ear phone but when I say I have this beast Senneheiser CX 275s other guys said Dada tusi great ho. Really appreciate you Senneheiser!!!:) How could YOU make this type sound quality which have other have name & brand name also but no one can beat you... Thanks a lot for making this kind of ear phone. And also Many Many thanks for Amazon to giving me this type deal and headset. This is gift fromy lovely DAD. Thanks PAPA...for UR love.,47 people found this helpful,0
Malathi,1.0 out of 5 stars,Audibility issue,https://www.amazon.in/gp/customer-reviews/RVZTMYA9V0RA4/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B00D75AB6I,Reviewed in India on 15 June 2018,Style name: CX 275s,https://www.amazon.in/Sennheiser-CX-180-Street-II/product-reviews/B008V6T1IW/ref=cm_cr_arp_d_rvw_fmt?ie=UTF8&formatType=current_format,Verified Purchase,"Ordered 2. In that, one started to malfunction within few days. Right side is not audible.",60 people found this helpful,2
Vishwanath Nalegavamath,1.0 out of 5 stars,Right side ear phone not hearing properly.,https://www.amazon.in/gp/customer-reviews/RLVAFHQQHDWT8/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B00D75AB6I,Reviewed in India on 10 November 2018,Style name: CX 180,https://www.amazon.in/Sennheiser-CX-180-Street-II/product-reviews/B00D75AB6I/ref=cm_cr_arp_d_rvw_fmt?ie=UTF8&formatType=current_format,Verified Purchase,"Dear sir/MedumI am vishwanath,  I ordered this item due to more rated one. But i  observed right side ear phone not hearing properly and also less sound compared to left one.overall not stable sound. Not satisfied with this material quality and as well as durability.....experienced this sound issue within the 2 months of purchase.  One more thing this same sound issue is  observed in my friend ear phones....who purchased 6 months before.Please requesting you to refund my amount. Repeating please refund my amount. I don't need new one.  Thanking youRegards,Vishwanath Nalegavamath.",46 people found this helpful,0
Arup S.,4.0 out of 5 stars,Perfectly Balanced earphones,https://www.amazon.in/gp/customer-reviews/R3BV004SEYBV99/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B00D75AB6I,Reviewed in India on 3 June 2018,Style name: CX 180,https://www.amazon.in/Sennheiser-CX-180-Street-II/product-reviews/B00D75AB6I/ref=cm_cr_arp_d_rvw_fmt?ie=UTF8&formatType=current_format,Verified Purchase,"What an amazing piece of earphone! Truly love with the balanced bass and treble and also the mid's. Unlike others that pumps only bass leaving the vocals way back, this piece of earphone delivers you with exact bass, treble and vocals where you can experience the true taste of every song, film or game.If you're looking out for a genuine earphone at such an amazing piece i will suggest you for these. And the only thing that bothers me is that it doesn't have a mic for which i am rating it at 4 stars.",47 people found this helpful,0
vishvajeet,5.0 out of 5 stars,Best!!,https://www.amazon.in/gp/customer-reviews/RP6HYZ4NFAFGT/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B00D75AB6I,Reviewed in India on 30 September 2018,Style name: CX 180,https://www.amazon.in/Sennheiser-CX-180-Street-II/product-reviews/B00D75AB6I/ref=cm_cr_arp_d_rvw_fmt?ie=UTF8&formatType=current_format,Verified Purchase,Sennheiser cx 180 are one of the best earphones under 1000 rupees. Not one of the best they are the best eaphones available just for 700 to 800 rupees. It has got a good amount of base with good sound quality and they are comfortable . I wore them for about 4 hours without feeling anything. I would totaly recomend this to anyone who is looking for a nice pair of earphones in this budget range. They are perfectly balanced for an averageuser who wants to have them for fun,41 people found this helpful,0
Ruturaj Bhosale,5.0 out of 5 stars,Update: I was wrong!,https://www.amazon.in/gp/customer-reviews/R3PPLVO2853WS8/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B00D75AB6I,Reviewed in India on 10 October 2018,Style name: CX 180,https://www.amazon.in/Sennheiser-CX-180-Street-II/product-reviews/B00D75AB6I/ref=cm_cr_arp_d_rvw_fmt?ie=UTF8&formatType=current_format,Verified Purchase,"The CX180 Street II:I bought it for about ₹800 and was overwhelmingly positive about the performance. These earphones are got to be the best sounding in this price bracket. Unfortunately, 2 months after buying the earphones were crippled!. They started sounding very distorted and by the very human nature, I was frustrated about the quality of the product. But what made me even more disappointed was there was no service centres nearby, around the place I live. And then i read the warranty information. The company is generous enough to handle service in these situations. Warranty can be claimed remotely just by sending your damaged/defective products through courier to any of the service centres mentioned in the warranty information and the replacement is done within a short span of time(Not more than just 7 days.). As simple as that!. I had a steep variation in my judgement in so less time about a specific product. Well done, Sennheiser. Appreciate the service.",42 people found this helpful,0
Dr. Suman Biswas,4.0 out of 5 stars,"Yep, You are the true music lover..❤️",https://www.amazon.in/gp/customer-reviews/R2XCO45QEDTEGV/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B00D75AB6I,Reviewed in India on 7 June 2018,Style name: CX 275s,https://www.amazon.in/Sennheiser-CX-180-Street-II/product-reviews/B008V6T1IW/ref=cm_cr_arp_d_rvw_fmt?ie=UTF8&formatType=current_format,Verified Purchase,"1st.. I will not say the buit quality is the best but it's good, you have to handle with care. Nd the good point is,there is a pouch with nice quality & looks.2.. Main thing I love the most in Sennheiser is its sound quality.  The sound is Crystal clear. You won't miss a single component of music. The bass vocal treble are balanced. Just catch it if you are a music lover.",48 people found this helpful,0
Tarun,5.0 out of 5 stars,Bang for the Buck,https://www.amazon.in/gp/customer-reviews/RR4JJ7IT5DAA2/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B00D75AB6I,Reviewed in India on 25 January 2017,Style name: CX 275s,https://www.amazon.in/Sennheiser-CX-180-Street-II/product-reviews/B008V6T1IW/ref=cm_cr_arp_d_rvw_fmt?ie=UTF8&formatType=current_format,Verified Purchase,"Firstly I would like to appreciate Amazon.in for its amazingly fast delivery. The product reached in less than 24hrs and I opted for regular delivery.Now about the Product.I have used or still use products like Audio Technica ATH-M50X , Beats Studio, Powerbeats 2 , Jaybird X2 , Panasonic Extra Bass , Bose SoundTrue, Mi Piston3, etc .These Sennheiser earphones are firstly extremely comfortable and lightweight. They have a very loud sound output. The bass is 4/5, Treble is 4/5. The sound quality is rich and it doesn't feels like a sub 2k earphone. The earbuds are small and therefore allow a comfort fit while listening lying down or sleeping and they do not poke or irritate while listening for long hours.I purchased it for Rs 1600/- , it comes with a leather case and a L - Shaped converter which is very thoughtful .Overall i would highly recommend.",69 people found this helpful,0
Jiten,5.0 out of 5 stars,Good Earphones with 2 Year warranty,https://www.amazon.in/gp/customer-reviews/R1576XDLULPWTB/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B00D75AB6I,Reviewed in India on 19 November 2018,Style name: CX 180,https://www.amazon.in/Sennheiser-CX-180-Street-II/product-reviews/B00D75AB6I/ref=cm_cr_arp_d_rvw_fmt?ie=UTF8&formatType=current_format,Verified Purchase,"Here i will tell you guys in detail whether u need to buy it or not..... previously i have used 1More piston fit,Boat Bassheads 225 and now this.....i will give you complete comparison between these three.....Sound quality of these earphones is good but at higher volume sound will pinch you in ears but at 70-80% it's good to use.......bass is really good......build quality is awesome........Now If you are confused between 1More piston , Boat Bassheads 225 and this one then here is the ratings i am giving ratings i used all these earphones for around 6 months......1More piston fit :-Sound Quality :- 5/5 (even at 100% volume sound will not pinch you in ears unlike Sennheiser cx 180)Bass :- 4/5 ( bass is balanced not deep or boom boom like but it good for long term use)Build :- 5/5Design :- 5/5Comfort:- 5/5Value for money :- 5/5 Boat Bassheads 225 :-Sound Quality:- 4/5Bass :- 5/5Build :- 3/5Design :-4/5Comfort:- 3/5 (pain starts after using 1 hour or 2 hours)Value for money:- 4/5 Sennheiser CX180:-Sound Quality:- 4.5/5 (pinch in ears at high volume)Bass:-4.5/5Build:-4/5Design:-4/5No microphone (-1)Value for money:- 4/5 Thanks i hope this rating will help you....",34 people found this helpful,0
BEINGTEJAS,1.0 out of 5 stars,Beware for your money.. this is a garbage in durability..,https://www.amazon.in/gp/customer-reviews/R3BCX735VLA9DV/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B00D75AB6I,Reviewed in India on 5 November 2018,Style name: CX 180,https://www.amazon.in/Sennheiser-CX-180-Street-II/product-reviews/B00D75AB6I/ref=cm_cr_arp_d_rvw_fmt?ie=UTF8&formatType=current_format,Verified Purchase,"They lost there balance in just 3 months of purchase, even I not mishandled them even once, left is sounding higher and right lost the sound almost 80%,Don't waste your money, trust me you regret your decision in somedays,Sound quality is great , but the durability is very very poor, and after sales service is like , ohh it's just 600 bucks earphone sir , buy other one.. they act like we got the cheaper one and still asking for warranty.. Senn idiots",29 people found this helpful,0
Sai Teja,5.0 out of 5 stars,"Good but......not upto the ""senheisher"" mark...",https://www.amazon.in/gp/customer-reviews/R1AERC8N5CVNGM/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B00D75AB6I,Reviewed in India on 16 July 2018,Style name: CX 180,https://www.amazon.in/Sennheiser-CX-180-Street-II/product-reviews/B00D75AB6I/ref=cm_cr_arp_d_rvw_fmt?ie=UTF8&formatType=current_format,Verified Purchase,I am writing this review after 3 months of usage  the sound quality was amazing for the price but after those 3 months the left earpiece stopped working and I was using it with absolute care.I also used the audio Technica ath clr 100 athough it's wire quality was not that great but it lasted me for 11 months before one earpiece got defective...so please keep this in mind before purchasing.....EDIT:I had recently sent my defective earphones to the service centre and boy-o-boy they sent me a new sealed cx 180 absolutely loved their service hence changing my  review from 2 star  to 5 star...........,31 people found this helpful,1
Killer 22,1.0 out of 5 stars,Disappointed with the build quality the wire broke when the ...,https://www.amazon.in/gp/customer-reviews/R3TN0KE8JAGZH0/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B00D75AB6I,Reviewed in India on 6 June 2018,Style name: CX 275s,https://www.amazon.in/Sennheiser-CX-180-Street-II/product-reviews/B008V6T1IW/ref=cm_cr_arp_d_rvw_fmt?ie=UTF8&formatType=current_format,Verified Purchase,Disappointed with the build quality the wire broke when the earphones were connected to my phone and i accidentally dropped it besides the bass Was not worth,38 people found this helpful,0
Rithik,3.0 out of 5 stars,My ear starts aching 😓😓,https://www.amazon.in/gp/customer-reviews/R2J8BET3GHT2AN/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B00D75AB6I,Reviewed in India on 21 January 2019,Style name: CX 180,https://www.amazon.in/Sennheiser-CX-180-Street-II/product-reviews/B00D75AB6I/ref=cm_cr_arp_d_rvw_fmt?ie=UTF8&formatType=current_format,Verified Purchase,Well i don't know much about musicCuz I'm not a music lover and i do not listen music on regular basis.Well I can't use this headphone for more than 10minsMy ear starts achingI've used one more pistonOne more piston was pretty good it doest hurt the ear. But bass was very lowThat earphone was indees good and perfect for those who love treble..This cx180 is uncomfortablebass is goodLoud soundBut i do not like this😓,24 people found this helpful,1
PRIYANJAN KUMAR,1.0 out of 5 stars,Almost no sound is coming from right side earpiece after 7 month of use.,https://www.amazon.in/gp/customer-reviews/R6HLYYC4SV991/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B00D75AB6I,Reviewed in India on 31 March 2018,Style name: CX 275s,https://www.amazon.in/Sennheiser-CX-180-Street-II/product-reviews/B008V6T1IW/ref=cm_cr_arp_d_rvw_fmt?ie=UTF8&formatType=current_format,Verified Purchase,"Good sound quality, but Almost no sound is coming from right side earpiece after 7 months of use.",35 people found this helpful,0
Chalapathy V Dhanwada,4.0 out of 5 stars,Good basic earbuds,https://www.amazon.in/gp/customer-reviews/R3OJ7J77GK4C1V/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B00D75AB6I,Reviewed in India on 5 October 2018,Style name: CX 180,https://www.amazon.in/Sennheiser-CX-180-Street-II/product-reviews/B00D75AB6I/ref=cm_cr_arp_d_rvw_fmt?ie=UTF8&formatType=current_format,Verified Purchase,"I wanted earbuds to block ambient noise, because my workplace often gets noisy. And I also wanted to replace the bad, non-earbud headphones that came with my smartphone. Though this particular item didn't have a built-in microphone, the price was reasonable enough that I decided to purchase it. Initially, I found the tiny pinch holds on the eaebuds difficult to let them be inserted easily and quickly into ears. But with some practice that problem has receded. And, no complaints on sound quality. Overall, it does the job well enough.",19 people found this helpful,0
Manu,5.0 out of 5 stars,This headphone is for the purists.,https://www.amazon.in/gp/customer-reviews/RTDKKTQHR5O6B/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B00D75AB6I,Reviewed in India on 25 November 2018,Style name: CX 275s,https://www.amazon.in/Sennheiser-CX-180-Street-II/product-reviews/B008V6T1IW/ref=cm_cr_arp_d_rvw_fmt?ie=UTF8&formatType=current_format,Verified Purchase,"People who are looking for bass, go find it elsewhere. This headphone is for people who love to listen to crisp and clear audio with just enough bass as is required. Sample the song life of ram from 96 and there was no second thoughts in buying this.",24 people found this helpful,0
Sowjanya,3.0 out of 5 stars,"product damaged,I need an exchange of product as warranty still exists",https://www.amazon.in/gp/customer-reviews/R3NCTT4PEIP1DB/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B00D75AB6I,Reviewed in India on 4 September 2018,Style name: CX 275s,https://www.amazon.in/Sennheiser-CX-180-Street-II/product-reviews/B008V6T1IW/ref=cm_cr_arp_d_rvw_fmt?ie=UTF8&formatType=current_format,Verified Purchase,"I have purchased this product on 2017 November with a  warranty for 2 years  product really worked too good during its life time, since 2 days sound is one ear-pad  and the other is not working fine , kindly do the needful.",27 people found this helpful,1
Kalpesh vaja,4.0 out of 5 stars,Value for money (Review after use of 6 months),https://www.amazon.in/gp/customer-reviews/R1JQNFKGJH1N9H/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B00D75AB6I,Reviewed in India on 25 May 2018,Style name: CX 180,https://www.amazon.in/Sennheiser-CX-180-Street-II/product-reviews/B00D75AB6I/ref=cm_cr_arp_d_rvw_fmt?ie=UTF8&formatType=current_format,Verified Purchase,"Hi friends,Today I am going to share review of sennheixer cx180 street2 after use of this earphone almost 6 months.In this review i will going to tell you everything about this earphone, how to check fake or real product and merit and de-merit side of this earphone.***Packaging***Packaging is good i give 4/5 star for packagingCompany give small, medium and large size earbud with earphoneGive 2 year warranty, this is a best in this price segment***Physical***I give 4/5 star for physical goodness.Earphone is look very goodLooking too small but very powerful.One de-merit side of earphone is, it has no mic so calling with this earphone is not good.Earbud with this earphone is very soft and even use of 4-5 hours you don't have pain in your ears.Wire length is more than normal earphone but company give clamp for long wire so that's good.When my earphone come i think wire is too thin and it breakdown very soon but when I use it about 6 months in very roughly, i realise that wire is too strong (it has no tangle and scratch even use of 6 months)Earphone has ""L"" shaped pin so wire breakage chances from joint is decreased.Earphone have finger grip so you can easily remove it from ears.Gold plated pin is also a good point of this earphone.***Performance***I give 4.5/5 for performance of this earphoneBass quality is good in low volume and high volumeSound clarity is very good, in this price segment if you want sound quality i definitely say go for this.***Merits***Quality of sound and bass is awesome.2 years warrantyI read 7-8 reviews about company warranty serviceAnd that clearly say that company have very supportive staff and warranty claiming is very instant (the reason behind i buy it because I want good service after sales)***De-merits***No good noice cancellationNo micThe length of wire is bit largeCompany not give any case or pounch for store it, so it is little erritating to store it.***My opinion***In this price range this is best option for good earphoneProduct really justify it's priceIf you want good sound with bass go for it don't make another decisionIf you only want bass and compromise with sound quality go for other brands***Check fake or original***I seen too many video about this earphone on YouTubeThat say,Fake have only senheixer logo on joint both sideOriginal have one side senheixer logo and other side have ""cx 180""Easiest way to check genuine product is below:-Company give one unique code in side of packaging by this code you can go company website and fill the code and website tell you product is fake or real .Even sound quality is clearly say you about product genuinebility.I hope my review clear your doubts and helpful to know about product.If my review helpful for you, don't forget to upvote for this reviewThanksJai hind🇮🇳",23 people found this helpful,0
Vijay,5.0 out of 5 stars,Excellent device - Genuine review,https://www.amazon.in/gp/customer-reviews/R2UY1DKHIQDKMU/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B00D75AB6I,Reviewed in India on 4 September 2018,Style name: CX 180,https://www.amazon.in/Sennheiser-CX-180-Street-II/product-reviews/B00D75AB6I/ref=cm_cr_arp_d_rvw_fmt?ie=UTF8&formatType=current_format,Verified Purchase,"I am using Amazon from last 6 years.  This is one of those genuine reviews.  Go for these ear phones unhesitatingly.  I bought them and have been using delightfully.  All the features mentioned by the company are true.  Absolutely perfect quality of sound, no noise.  Listening music goes to a different level with these ear phones.  Upon my word, simply ignore the negative comments and go for this piece confidently.",18 people found this helpful,0
